BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
2,Bronx,005,BX40,Fordham South,15878.2725836,6307283.52037
3,Brooklyn,047,BK88,Borough Park,39247.2281346,54005018.9601
3,Brooklyn,047,BK96,Rugby-Remsen Village,30957.8532496,32706945.7835
4,Queens,081,QN52,East Flushing,25843.3649355,29454379.9879
4,Queens,081,QN48,Auburndale,32446.878673,34164217.5747
2,Bronx,005,BX44,Williamsbridge-Olinville,27350.9744345,36273563.5782
4,Queens,081,QN51,Murray Hill,33266.9048118,52488277.1387
4,Queens,081,QN27,East Elmhurst,19816.7121095,19726846.1
3,Brooklyn,047,BK85,East New York (Pennsylvania Ave),24226.8512384,19397527.3033
2,Bronx,005,BX46,Parkchester,12373.2556643,9180655.37413
4,Queens,081,QN33,Cambria Heights,26168.2693705,33076798.0626
3,Brooklyn,047,BK46,Ocean Parkway South,21975.9979841,17782031.9582
3,Brooklyn,047,BK93,Starrett City,17414.7816785,11598945.8707
2,Bronx,005,BX35,Morrisania-Melrose,27740.8455201,16891753.1468
4,Queens,081,QN44,Glen Oaks-Floral Park-New Hyde Park,33596.5262527,45665592.3945
1,Manhattan,061,MN32,Yorkville,17409.2098543,13594779.6826
2,Bronx,005,BX98,Rikers Island,18903.346271,18154595.7962
4,Queens,081,QN28,Jackson Heights,29422.7922879,47854896.0415
1,Manhattan,061,MN09,Morningside Heights,20744.3138054,20158317.3035
2,Bronx,005,BX55,Soundview-Bruckner,19755.305501,16260511.4214
4,Queens,081,QN07,Hollis,20976.3355739,22887772.8652
1,Manhattan,061,MN06,Manhattanville,17040.6857283,10647077.6581
4,Queens,081,QN02,Springfield Gardens North,25433.5831232,28428437.826
3,Brooklyn,047,BK50,Canarsie,43701.7910518,82015446.4749
1,Manhattan,061,MN23,West Village,29385.0304235,25000526.3287
2,Bronx,005,BX62,Woodlawn-Wakefield,38709.078888,39744928.5262
4,Queens,081,QN71,Old Astoria,19335.5666874,15621238.6039
5,Staten Island,085,SI22,West New Brighton-New Brighton-St. George,67956.5058252,56064920.5158
5,Staten Island,085,SI35,New Brighton-Silver Lake,30322.5236859,47140398.5059
5,Staten Island,085,SI07,Westerleigh,41649.9174177,63293572.2557
4,Queens,081,QN46,Bayside-Bayside Hills,43014.8054344,80797536.0793
4,Queens,081,QN38,Pomonok-Flushing Heights-Hillcrest,30731.5922613,38835956.5149
4,Queens,081,QN72,Steinway,42971.8262199,57767020.7334
2,Bronx,005,BX39,Mott Haven-Port Morris,35601.1838355,41903939.7548
4,Queens,081,QN68,Queensbridge-Ravenswood-Long Island City,27067.6529409,23317083.6315
2,Bronx,005,BX28,Van Cortlandt Village,22003.8399718,25673275.1524
2,Bronx,005,BX13,Co-op City,30338.2767119,39875759.9638
1,Manhattan,061,MN15,Clinton,35037.1715797,18381380.2263
4,Queens,081,QN56,Ozone Park,24733.0762052,25028558.6887
3,Brooklyn,047,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,92269.4696351,69328952.851
3,Brooklyn,047,BK29,Bensonhurst East,33920.6767267,35776108.8936
3,Brooklyn,047,BK25,Homecrest,27514.023316,29991967.4255
3,Brooklyn,047,BK23,West Brighton,14114.5370391,8745782.1645
2,Bronx,005,BX59,Westchester-Unionport,26557.4090987,23945209.6251
3,Brooklyn,047,BK68,Fort Greene,19828.4751477,16482895.9527
5,Staten Island,085,SI08,Grymes Hill-Clifton-Fox Hills,37119.4193206,37748488.5299
5,Staten Island,085,SI37,Stapleton-Rosebank,56431.550882,46523826.2222
3,Brooklyn,047,BK61,Crown Heights North,35635.5435552,51619074.7389
4,Queens,081,QN41,Fresh Meadows-Utopia,22106.4313493,27774853.6475
1,Manhattan,061,MN34,East Harlem North,31491.7224887,24513073.3809
3,Brooklyn,047,BK77,Bushwick North,26402.8832503,25020782.7003
1,Manhattan,061,MN11,Central Harlem South,16619.2958676,14436192.1854
4,Queens,081,QN23,College Point,59494.9669483,50625405.5565
5,Staten Island,085,SI99,park-cemetery-etc-Staten Island,46186.2065287,24000715.3017
4,Queens,081,QN18,Rego Park,26675.1774181,19941410.1891
1,Manhattan,061,MN17,Midtown-Midtown South,27035.7381234,30192056.8923
1,Manhattan,061,MN20,Murray Hill-Kips Bay,23134.2680348,14465848.0602
5,Staten Island,085,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,72466.639022,89057577.7832
5,Staten Island,085,SI28,Port Richmond,38925.8531931,36421059.486
1,Manhattan,061,MN19,Turtle Bay-East Midtown,21638.7812063,17397872.2036
1,Manhattan,061,MN31,Lenox Hill-Roosevelt Island,37708.4443316,21501564.9178
3,Brooklyn,047,BK60,Prospect Lefferts Gardens-Wingate,29580.5375233,31642124.896
3,Brooklyn,047,BK63,Crown Heights South,24192.4558495,15989888.3777
2,Bronx,005,BX01,Claremont-Bathgate,29972.7767403,16451621.3296
2,Bronx,005,BX41,Mount Hope,18935.1673827,14718296.5538
4,Queens,081,QN47,Ft. Totten-Bay Terrace-Clearview,39619.8615214,46293660.1909
4,Queens,081,QN08,St. Albans,45401.3168923,77412747.8317
4,Queens,081,QN54,Richmond Hill,33791.5704516,50978895.7612
1,Manhattan,061,MN12,Upper West Side,29158.1325969,34381053.1183
1,Manhattan,061,MN14,Lincoln Square,19866.0532381,15805667.7403
4,Queens,081,QN45,Douglas Manor-Douglaston-Little Neck,45832.624596,68567676.5568
2,Bronx,005,BX05,Bedford Park-Fordham North,22565.481934,14998883.2132
2,Bronx,005,BX06,Belmont,17114.4303363,13557354.9494
4,Queens,081,QN25,Corona,23870.1540595,20080371.5868
2,Bronx,005,BX03,Eastchester-Edenwald-Baychester,59165.0047535,40256749.181
5,Staten Island,085,SI32,Rossville-Woodrow,33239.3302334,64959465.1807
5,Staten Island,085,SI48,Arden Heights,29689.4460588,50407529.8639
2,Bronx,005,BX09,Soundview-Castle Hill-Clason Point-Harding Park,67150.4779372,51958970.3824
1,Manhattan,061,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45454.7229508,37029727.2943
1,Manhattan,061,MN21,Gramercy,12091.5876743,7531454.76957
1,Manhattan,061,MN04,Hamilton Heights,17410.823295,16093787.9398
